,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,3 2 +1,,1 1 +0,0 1 -1,1 0 +1
trexx TL,2 0 +2,,4 0 +4,,4 4 +0
kamo TL,5 2 +3,1 0 +1,3 1 +2,1 2 -1,4 8 -4
nAts TL,1 0 +1,2 0 +2,1 1 +0,3 0 +3,1 2 -1
keiko TL,1 4 -3,0 1 -1,1 5 -4,2 0 +2,1 4 -3
