,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,,,,,
trexx TL,,,,,
kamo TL,,1 0 +1,1 0 +1,,2 0 +2
nAts TL,,,,2 0 +2,
keiko TL,1 0 +1,,,,1 0 +1
