,Avez KC,SUYGETSU KC,saadhak KC,pyrolll KC,marteen KC
paTiTek TL,3 1 +2,,,0 1 -1,
trexx TL,1 0 +1,,,,1 1 +0
kamo TL,3 0 +3,,1 1 +0,0 1 -1,
nAts TL,,1 0 +1,,,0 1 -1
keiko TL,1 3 -2,0 1 -1,1 0 +1,1 0 +1,0 3 -3
