,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,,,,,
Monyet RRQ,,,,0 1 -1,0 1 -1
Jemkin RRQ,,1 0 +1,1 0 +1,,1 0 +1
crazyguy RRQ,,,2 0 +2,,1 1 +0
xffero RRQ,,,,,
