,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,1 1 +0,0 1 -1,1 1 +0,,1 1 +0
Monyet RRQ,1 1 +0,1 0 +1,1 0 +1,2 3 -1,1 5 -4
Jemkin RRQ,1 1 +0,2 3 -1,2 1 +1,1 1 +0,2 2 +0
crazyguy RRQ,2 0 +2,1 0 +1,,,0 2 -2
xffero RRQ,,,,0 1 -1,1 1 +0
