,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,2 1 +1,2 3 -1,1 1 +0,1 6 -5,2 4 -2
Monyet RRQ,5 2 +3,3 1 +2,5 2 +3,3 2 +1,0 9 -9
Jemkin RRQ,2 2 +0,2 3 -1,4 3 +1,1 3 -2,3 4 -1
crazyguy RRQ,2 2 +0,2 3 -1,3 1 +2,1 3 -2,5 4 +1
xffero RRQ,1 4 -3,0 2 -2,2 1 +1,2 2 +0,3 5 -2
