,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,3 2 +1,2 4 -2,1 3 -2,4 5 -1,2 5 -3
Monyet RRQ,4 4 +0,2 2 +0,2 3 -1,4 6 -2,2 3 -1
Jemkin RRQ,5 4 +1,5 2 +3,4 3 +1,1 4 -3,6 3 +3
crazyguy RRQ,3 4 -1,4 2 +2,5 1 +4,2 2 +0,3 7 -4
xffero RRQ,1 3 -2,3 4 -1,5 1 +4,3 7 -4,4 0 +4
