,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,1 0 +1,0 1 -1,,,1 1 +0
Monyet RRQ,0 1 -1,,1 0 +1,1 3 -2,1 3 -2
Jemkin RRQ,0 1 -1,1 1 +0,,1 1 +0,2 0 +2
crazyguy RRQ,2 0 +2,,,,0 2 -2
xffero RRQ,,,,0 1 -1,
