,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,5 3 +2,4 7 -3,2 4 -2,5 11 -6,4 9 -5
Monyet RRQ,9 6 +3,5 3 +2,7 5 +2,7 8 -1,2 12 -10
Jemkin RRQ,7 6 +1,7 5 +2,8 6 +2,2 7 -5,9 7 +2
crazyguy RRQ,5 6 -1,6 5 +1,8 2 +6,3 5 -2,8 11 -3
xffero RRQ,2 7 -5,3 6 -3,7 2 +5,5 9 -4,7 5 +2
