,free1ng DRX,MaKo DRX,Estrella DRX,Flashback DRX,HYUNMIN DRX
Kushy RRQ,0 1 -1,,1 1 +0,,
Monyet RRQ,1 0 +1,1 0 +1,,1 0 +1,0 2 -2
Jemkin RRQ,1 0 +1,1 2 -1,2 1 +1,,0 2 -2
crazyguy RRQ,,1 0 +1,,,
xffero RRQ,,,,,1 1 +0
