,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,6 Round 3 Cloud grubinho Round 7 grubinho ara Round 9 grubinho ara Round 12 grubinho Cloud Round 14 westside ara Round 19 ara westside,1 Round 23 ara grubinho Flickless,,,,,,,,67,0,1
nAts TL,,3 Round 5 ara westside Round 16 Cloud Flickless Round 18 grubinho Cloud,2 Round 13 Cloud ara Flickless Round 15 Cloud westside ara,,,,,,,,45,0,0
trexx TL,,2 Round 3 westside Flickless trexx Round 15 grubinho Flickless,,,,1 Round 23 westside,1 Round 15 grubinho Flickless,,,,42,3,0
keiko TL,,6 Round 2 Flickless grubinho Round 6 Flickless Cloud Round 7 Flickless westside Round 8 ara Flickless Round 10 ara Cloud Round 16 grubinho westside,,,,1 Round 5 Cloud,,,,,59,1,1
kamo TL,,5 Round 1 ara westside Round 5 grubinho Flickless Round 10 westside Flickless Round 12 westside Flickless Round 19 Cloud Flickless,,,,1 Round 10 Flickless,,,,,54,2,2
Cloud GX,,2 Round 8 trexx keiko Round 21 paTiTek keiko,,1 Round 7 keiko nAts paTiTek trexx,,,,,1 Round 7 keiko paTiTek nAts trexx,,54,5,0
grubinho GX,,3 Round 1 keiko kamo Round 9 kamo nAts Round 12 nAts trexx,3 Round 4 kamo nAts keiko Round 11 kamo keiko nAts Round 17 kamo nAts trexx,,,,,,,,75,0,0
Flickless GX,,4 Round 10 keiko paTiTek Round 15 nAts keiko Round 20 keiko trexx Round 23 keiko nAts,1 Round 22 kamo trexx nAts,,,,1 Round 3 paTiTek trexx,,,,64,4,1
ara GX,,1 Round 20 paTiTek kamo,,,,,,,,,38,0,0
westside GX,,5 Round 3 kamo nAts Round 5 trexx kamo Round 9 trexx paTiTek Round 10 trexx nAts Round 23 paTiTek kamo,,,,,,,,,47,1,0
