,westside GX,grubinho GX,Flickless GX,Cloud GX,ara GX
kamo TL,2 4 -2,3 5 -2,5 1 +4,2 3 -1,8 2 +6
nAts TL,5 3 +2,4 5 -1,3 6 -3,8 2 +6,5 2 +3
keiko TL,2 2 +0,4 5 -1,4 2 +2,3 2 +1,2 3 -1
paTiTek TL,2 4 -2,1 3 -2,2 2 +0,4 3 +1,1 3 -2
trexx TL,3 1 +2,2 0 +2,4 2 +2,3 5 -2,2 6 -4
