,westside GX,grubinho GX,Flickless GX,Cloud GX,ara GX
kamo TL,4 3 +1,3 4 -1,1 0 +1,4 0 +4,0 3 -3
nAts TL,1 1 +0,1 0 +1,1 0 +1,1 0 +1,1 0 +1
keiko TL,1 3 -2,1 1 +0,3 1 +2,2 1 +1,2 0 +2
paTiTek TL,1 2 -1,2 1 +1,2 1 +1,0 3 -3,3 4 -1
trexx TL,0 1 -1,,0 1 -1,2 0 +2,1 1 +0
