,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,2 2 +0,2 3 -1,3 1 +2,4 2 +2,2 0 +2
xenom MIBR,1 3 -2,1 2 -1,1 2 -1,3 1 +2,2 0 +2
aspas MIBR,5 0 +5,3 1 +2,7 0 +7,2 1 +1,2 6 -4
Verno MIBR,3 1 +2,2 2 +0,0 2 -2,1 2 -1,3 2 +1
artzin MIBR,3 0 +3,6 4 +2,4 1 +3,4 2 +2,4 2 +2
