,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,5 7 -2,4 5 -1,6 1 +5,7 4 +3,5 2 +3
xenom MIBR,2 5 -3,4 3 +1,4 4 +0,7 4 +3,6 0 +6
aspas MIBR,9 3 +6,7 2 +5,10 0 +10,3 2 +1,7 7 +0
Verno MIBR,5 4 +1,6 3 +3,3 6 -3,5 4 +1,3 2 +1
artzin MIBR,5 2 +3,6 7 -1,6 1 +5,6 9 -3,7 3 +4
