,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,1 1 +0,,,2 2 +0,
xenom MIBR,0 1 -1,1 0 +1,,0 1 -1,1 0 +1
aspas MIBR,3 1 +2,2 0 +2,1 0 +1,,1 0 +1
Verno MIBR,3 0 +3,,0 1 -1,,1 0 +1
artzin MIBR,0 1 -1,2 1 +1,2 0 +2,2 3 -1,2 0 +2
