,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,1 1 +0,,,1 1 +0,
xenom MIBR,,,,,
aspas MIBR,1 1 +0,1 0 +1,,,1 0 +1
Verno MIBR,2 0 +2,,,,
artzin MIBR,0 1 -1,,2 0 +2,1 3 -2,1 0 +1
