,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,,,,1 1 +0,
xenom MIBR,0 1 -1,1 0 +1,,0 1 -1,1 0 +1
aspas MIBR,2 0 +2,1 0 +1,1 0 +1,,
Verno MIBR,1 0 +1,,0 1 -1,,1 0 +1
artzin MIBR,,2 1 +1,,1 0 +1,1 0 +1
