,Jemkin RRQ,Monyet RRQ,crazyguy RRQ,xffero RRQ,Kushy RRQ
cortezia MIBR,3 5 -2,2 2 +0,3 0 +3,3 2 +1,3 2 +1
xenom MIBR,1 2 -1,3 1 +2,3 2 +1,4 3 +1,4 0 +4
aspas MIBR,4 3 +1,4 1 +3,3 0 +3,1 1 +0,5 1 +4
Verno MIBR,2 3 -1,4 1 +3,3 4 -1,4 2 +2,
artzin MIBR,2 2 +0,0 3 -3,2 0 +2,2 7 -5,3 1 +2
