,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,2 3 -1,2 1 +1,0 1 -1,0 1 -1,0 3 -3
johnqt SEN,1 0 +1,,,,1 0 +1
Sacy SEN,1 1 +0,0 1 -1,0 1 -1,1 0 +1,
Zellsis SEN,1 0 +1,,,,0 1 -1
TenZ SEN,0 1 -1,,0 1 -1,,
