,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,5 2 +3,5 1 +4,4 2 +2,2 2 +0,3 2 +1
johnqt SEN,2 5 -3,4 0 +4,3 1 +2,6 3 +3,2 2 +0
Sacy SEN,2 0 +2,1 2 -1,2 4 -2,3 2 +1,3 3 +0
Zellsis SEN,3 4 -1,2 2 +0,4 3 +1,3 1 +2,4 2 +2
TenZ SEN,3 6 -3,3 2 +1,1 0 +1,1 2 -1,2 3 -1
