,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,4 4 +0,6 2 +4,0 2 -2,1 2 -1,1 6 -5
johnqt SEN,1 2 -1,1 0 +1,2 0 +2,,3 1 +2
Sacy SEN,2 2 +0,0 1 -1,0 2 -2,2 1 +1,1 0 +1
Zellsis SEN,1 1 +0,,1 1 +0,,0 2 -2
TenZ SEN,1 2 -1,2 2 +0,0 2 -2,,0 1 -1
