,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,15 10 +5,14 8 +6,7 8 -1,10 10 +0,8 13 -5
johnqt SEN,9 11 -2,12 4 +8,13 4 +9,12 8 +4,9 10 -1
Sacy SEN,8 8 +0,7 4 +3,7 11 -4,11 8 +3,7 15 -8
Zellsis SEN,7 14 -7,5 5 +0,11 10 +1,7 4 +3,6 11 -5
TenZ SEN,8 18 -10,4 6 -2,6 10 -4,6 5 +1,9 10 -1
