,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,5 4 +1,6 3 +3,0 4 -4,3 3 +0,2 6 -4
johnqt SEN,3 2 +1,6 2 +4,6 3 +3,4 3 +1,4 2 +2
Sacy SEN,3 3 +0,3 2 +1,1 5 -4,6 3 +3,4 5 -1
Zellsis SEN,4 7 -3,2 1 +1,5 3 +2,3 1 +2,1 5 -4
TenZ SEN,2 6 -4,0 1 -1,3 5 -2,2 2 +0,5 4 +1
