,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,5 4 +1,3 4 -1,3 2 +1,5 5 +0,3 5 -2
johnqt SEN,4 4 +0,2 2 +0,4 0 +4,2 2 +0,3 6 -3
Sacy SEN,3 5 -2,3 0 +3,4 2 +2,2 3 -1,0 7 -7
Zellsis SEN,0 3 -3,1 2 -1,2 4 -2,1 2 -1,1 4 -3
TenZ SEN,3 6 -3,1 3 -2,2 5 -3,3 1 +2,2 3 -1
