,Derke FNC,Boaster FNC,Alfajer FNC,hiro FNC,Chronicle FNC
zekken SEN,1 0 +1,3 0 +3,,0 1 -1,0 1 -1
johnqt SEN,0 1 -1,1 0 +1,,,
Sacy SEN,,,,1 0 +1,1 0 +1
Zellsis SEN,0 1 -1,,1 1 +0,,0 1 -1
TenZ SEN,0 1 -1,2 1 +1,,,0 1 -1
