,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,1 2 -1,3 2 +1,2 0 +2,2 0 +2,4 1 +3
Francis NS,5 2 +3,2 3 -1,3 1 +2,4 0 +4,2 1 +1
Ivy NS,3 1 +2,2 1 +1,1 3 -2,1 1 +0,4 0 +4
Dambi NS,4 1 +3,3 0 +3,7 1 +6,3 2 +1,2 4 -2
margaret NS,0 2 -2,4 2 +2,1 3 -2,5 0 +5,1 3 -2
