,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,,,,,
Francis NS,1 0 +1,1 0 +1,0 1 -1,1 0 +1,
Ivy NS,,,0 1 -1,1 0 +1,
Dambi NS,1 0 +1,1 0 +1,4 1 +3,0 1 -1,
margaret NS,,1 0 +1,1 0 +1,,
