,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,,1 0 +1,0 1 -1,,
Francis NS,1 0 +1,1 2 -1,2 4 -2,1 2 -1,
Ivy NS,0 1 -1,,1 1 +0,3 0 +3,
Dambi NS,2 4 -2,2 0 +2,5 3 +2,1 4 -3,4 0 +4
margaret NS,0 1 -1,4 0 +4,3 2 +1,0 1 -1,
