,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,6 1 +5,3 6 -3,3 5 -2,2 1 +1,0 1 -1
Francis NS,4 1 +3,6 4 +2,4 4 +0,2 1 +1,5 2 +3
Ivy NS,2 3 -1,0 3 -3,5 2 +3,6 3 +3,4 3 +1
Dambi NS,4 2 +2,1 4 -3,2 3 -1,3 6 -3,5 3 +2
margaret NS,1 2 -1,4 0 +4,5 2 +3,3 5 -2,3 4 -1
