,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,,,,,
Francis NS,,0 1 -1,0 2 -2,,
Ivy NS,,,1 0 +1,1 0 +1,
Dambi NS,1 2 -1,,1 1 +0,1 2 -1,4 0 +4
margaret NS,,2 0 +2,1 2 -1,,
