,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,,1 0 +1,0 1 -1,,
Francis NS,,0 1 -1,2 1 +1,0 2 -2,
Ivy NS,0 1 -1,,,1 0 +1,
Dambi NS,0 2 -2,1 0 +1,0 1 -1,0 1 -1,
margaret NS,0 1 -1,1 0 +1,1 0 +1,0 1 -1,
