,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,11 8 +3,8 11 -3,8 8 +0,7 4 +3,6 4 +2
Francis NS,11 4 +7,8 9 -1,11 8 +3,8 6 +2,9 7 +2
Ivy NS,7 7 +0,2 10 -8,7 10 -3,10 5 +5,13 3 +10
Dambi NS,9 9 +0,8 6 +2,12 8 +4,7 10 -3,8 9 -1
margaret NS,3 7 -4,10 6 +4,8 9 -1,11 8 +3,7 9 -2
