,dos9 BME,BerserX BME,Famouz BME,Shiro BME,NcSlasher BME
Persia NS,4 5 -1,2 3 -1,3 3 +0,3 3 +0,2 2 +0
Francis NS,2 1 +1,0 2 -2,4 3 +1,2 5 -3,2 4 -2
Ivy NS,2 3 -1,0 6 -6,1 5 -4,3 1 +2,5 0 +5
Dambi NS,1 6 -5,4 2 +2,3 4 -1,1 2 -1,1 2 -1
margaret NS,2 3 -1,2 4 -2,2 4 -2,3 3 +0,3 2 +1
