,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,1 2 -1,2 2 +0,0 2 -2,2 3 -1,3 3 +0
nAts TL,5 3 +2,4 3 +1,5 3 +2,2 3 -1,2 3 -1
keiko TL,1 4 -3,2 0 +2,3 6 -3,2 0 +2,0 5 -5
paTiTek TL,2 0 +2,1 4 -3,1 5 -4,5 5 +0,5 2 +3
kamo TL,3 1 +2,2 4 -2,2 3 -1,3 3 +0,2 5 -3
