,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,2 4 -2,0 3 -3,5 3 +2,2 0 +2,6 2 +4
nAts TL,1 3 -2,7 4 +3,1 2 -1,4 2 +2,2 3 -1
keiko TL,8 4 +4,1 3 -2,1 2 -1,7 2 +5,2 1 +1
paTiTek TL,3 4 -1,5 1 +4,4 2 +2,1 3 -2,1 0 +1
kamo TL,1 5 -4,1 3 -2,5 2 +3,3 3 +0,3 1 +2
