,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,5 2 +3,1 2 -1,2 7 -5,3 4 -1,3 3 +0
nAts TL,2 3 -1,6 1 +5,4 5 -1,6 5 +1,5 1 +4
keiko TL,2 6 -4,2 2 +0,1 2 -1,2 3 -1,3 6 -3
paTiTek TL,4 3 +1,3 6 -3,7 1 +6,1 6 -5,4 0 +4
kamo TL,6 4 +2,3 3 +0,3 2 +1,4 4 +0,4 2 +2
