,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,8 8 +0,3 7 -4,7 12 -5,7 7 +0,12 8 +4
nAts TL,8 9 -1,17 8 +9,10 10 +0,12 10 +2,9 7 +2
keiko TL,11 14 -3,5 5 +0,5 10 -5,11 5 +6,5 12 -7
paTiTek TL,9 7 +2,9 11 -2,12 8 +4,7 14 -7,10 2 +8
kamo TL,10 10 +0,6 10 -4,10 7 +3,10 10 +0,9 8 +1
