,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,,,0 1 -1,,
nAts TL,,1 1 +0,,1 1 +0,
keiko TL,,,,2 1 +1,0 1 -1
paTiTek TL,,,,,
kamo TL,0 1 -1,0 2 -2,2 1 +1,2 3 -1,
