,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,,,,0 1 -1,
nAts TL,,1 1 +0,1 0 +1,0 1 -1,
keiko TL,1 0 +1,1 0 +1,1 0 +1,1 0 +1,
paTiTek TL,,,,2 1 +1,0 1 -1
kamo TL,1 0 +1,1 0 +1,1 0 +1,1 1 +0,0 2 -2
