,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,,,1 2 -1,1 1 +0,
nAts TL,,,1 2 -1,1 0 +1,0 1 -1
keiko TL,0 1 -1,1 0 +1,,,1 0 +1
paTiTek TL,,,2 1 +1,0 1 -1,2 0 +2
kamo TL,2 1 +1,,0 1 -1,1 0 +1,
