,PROFEK BBL,MAGNUM BBL,sociablEE BBL,LewN BBL,Jamppi BBL
Serial TL,,,1 3 -2,1 2 -1,
nAts TL,,2 2 +0,2 2 +0,2 2 +0,0 1 -1
keiko TL,1 1 +0,2 0 +2,1 0 +1,3 1 +2,1 1 +0
paTiTek TL,,,2 1 +1,2 2 +0,2 1 +1
kamo TL,3 2 +1,1 2 -1,3 2 +1,4 4 +0,0 2 -2
