,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,4 5 -1,4 5 -1,3 4 -1,0 1 -1,2 0 +2
kamyk M8,3 6 -3,6 4 +2,5 6 -1,5 1 +4,5 0 +5
Minny M8,3 5 -2,1 6 -5,2 1 +1,4 3 +1,2 1 +1
Veqaj M8,7 5 +2,4 6 -2,6 3 +3,5 3 +2,6 1 +5
Proxh M8,5 3 +2,4 3 +1,4 4 +0,1 5 -4,4 2 +2
