,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,2 5 -3,7 5 +2,2 4 -2,4 1 +3,2 3 -1
kamyk M8,4 6 -2,4 3 +1,2 4 -2,6 2 +4,2 4 -2
Minny M8,5 6 -1,3 2 +1,4 2 +2,1 3 -2,7 3 +4
Veqaj M8,5 3 +2,4 4 +0,6 7 -1,5 0 +5,7 1 +6
Proxh M8,1 3 -2,3 2 +1,4 6 -2,2 2 +0,2 3 -1
