,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,,0 1 -1,0 1 -1,1 0 +1,1 0 +1
kamyk M8,2 3 -1,1 0 +1,0 1 -1,0 1 -1,
Minny M8,1 2 -1,,,,1 1 +0
Veqaj M8,,2 1 +1,,,3 0 +3
Proxh M8,0 1 -1,,0 2 -2,,
