,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,0 1 -1,6 2 +4,0 2 -2,1 0 +1,2 1 +1
kamyk M8,2 6 -4,2 3 -1,1 1 +0,2 1 +1,0 1 -1
Minny M8,1 4 -3,0 3 -3,,1 0 +1,1 1 +0
Veqaj M8,2 1 +1,2 2 +0,0 1 -1,0 1 -1,4 1 +3
Proxh M8,2 4 -2,1 1 +0,0 2 -2,,1 0 +1
