,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,7 14 -7,16 13 +3,9 10 -1,6 3 +3,6 9 -3
kamyk M8,8 17 -9,12 11 +1,8 12 -4,12 3 +9,8 10 -2
Minny M8,10 14 -4,6 14 -8,9 5 +4,8 8 +0,14 6 +8
Veqaj M8,14 11 +3,11 14 -3,13 13 +0,11 5 +6,14 6 +8
Proxh M8,9 9 +0,8 7 +1,10 13 -3,5 10 -5,11 8 +3
