,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,1 4 -3,5 3 +2,4 2 +2,2 1 +1,2 6 -4
kamyk M8,1 5 -4,2 4 -2,1 2 -1,1 0 +1,1 6 -5
Minny M8,2 3 -1,2 6 -4,3 2 +1,3 2 +1,5 2 +3
Veqaj M8,2 3 -1,3 4 -1,1 3 -2,1 2 -1,1 4 -3
Proxh M8,3 3 +0,1 2 -1,2 3 -1,2 3 -1,5 3 +2
