,Wo0t TH,MiniBoo TH,RieNs TH,Boo TH,benjyfishy TH
ComeBack M8,0 1 -1,2 0 +2,0 1 -1,,1 0 +1
kamyk M8,0 2 -2,0 2 -2,1 0 +1,2 0 +2,
Minny M8,0 1 -1,0 2 -2,,1 0 +1,
Veqaj M8,2 1 +1,,0 1 -1,,1 0 +1
Proxh M8,2 1 +1,1 0 +1,,,1 0 +1
