,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,0 1 -1,1 0 +1,1 0 +1,0 1 -1,5 2 +3
Boostio 100T,1 0 +1,2 0 +2,0 1 -1,0 2 -2,1 3 -2
zander 100T,2 0 +2,1 0 +1,,0 3 -3,7 6 +1
Asuna 100T,0 3 -3,3 1 +2,1 3 -2,5 0 +5,1 5 -4
eeiu 100T,,2 1 +1,2 0 +2,0 1 -1,1 1 +0
