,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,3 4 -1,4 2 +2,3 5 -2,3 3 +0,6 6 +0
Boostio 100T,0 7 -7,0 1 -1,2 1 +1,2 3 -1,0 5 -5
zander 100T,2 6 -4,5 3 +2,1 1 +0,3 3 +0,6 3 +3
Asuna 100T,4 4 +0,5 1 +4,4 6 -2,6 2 +4,1 5 -4
eeiu 100T,6 3 +3,3 2 +1,7 2 +5,5 4 +1,5 1 +4
