,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,,,,1 0 +1,0 1 -1
Boostio 100T,,,,,
zander 100T,,,,,0 1 -1
Asuna 100T,,,,,0 1 -1
eeiu 100T,,1 0 +1,,,0 2 -2
