,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,8 12 -4,11 8 +3,7 8 -1,9 8 +1,12 15 -3
Boostio 100T,4 15 -11,5 6 -1,5 8 -3,6 11 -5,3 13 -10
zander 100T,10 9 +1,11 8 +3,7 5 +2,8 10 -2,11 19 -8
Asuna 100T,9 12 -3,11 3 +8,6 12 -6,13 4 +9,5 18 -13
eeiu 100T,12 8 +4,9 8 +1,13 6 +7,7 14 -7,16 8 +8
