,Verno NRG,Ethan NRG,FiNESSE NRG,s0m NRG,mada NRG
Cryocells 100T,2 0 +2,1 0 +1,,3 0 +3,1 1 +0
Boostio 100T,,,,,0 1 -1
zander 100T,,,,,0 4 -4
Asuna 100T,,,,,0 2 -2
eeiu 100T,,1 0 +1,,,0 2 -2
