,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,,,,,
Proxh M8,,,,0 1 -1,
Minny M8,,,,0 1 -1,0 0
ComeBack M8,,,,,
Veqaj M8,,,,0 1 -1,
