,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,,,0 1 -1,0 2 -2,1 0 +1
Proxh M8,,,,1 0 +1,
Minny M8,,1 0 +1,0 1 -1,,0 0
ComeBack M8,0 2 -2,,0 1 -1,0 1 -1,1 1 +0
Veqaj M8,0 1 -1,,,0 2 -2,1 0 +1
