,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,2 2 +0,1 0 +1,2 1 +1,2 3 -1,3 0 +3
Proxh M8,,,0 2 -2,2 1 +1,0 2 -2
Minny M8,1 0 +1,2 2 +0,0 1 -1,2 3 -1,0 1 -1
ComeBack M8,2 5 -3,2 1 +1,2 2 +0,2 2 +0,4 1 +3
Veqaj M8,1 1 +0,,,1 2 -1,1 0 +1
