,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,,,,0 2 -2,
Proxh M8,,,,,
Minny M8,,,,0 3 -3,
ComeBack M8,1 0 +1,,1 0 +1,1 1 +0,1 0 +1
Veqaj M8,,,,0 2 -2,
