,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,2 2 +0,1 0 +1,2 0 +2,,2 0 +2
Proxh M8,,,0 1 -1,,
Minny M8,1 0 +1,1 0 +1,,0 3 -3,0 1 -1
ComeBack M8,1 2 -1,2 0 +2,0 1 -1,2 1 +1,1 0 +1
Veqaj M8,,,,,
