,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,17 7 +10,5 5 +0,12 10 +2,7 16 -9,10 9 +1
Proxh M8,7 8 -1,7 9 -2,10 8 +2,5 8 -3,7 8 -1
Minny M8,8 3 +5,9 11 -2,8 10 -2,7 13 -6,4 5 -1
ComeBack M8,6 11 -5,5 13 -8,9 7 +2,13 10 +3,14 5 +9
Veqaj M8,10 14 -4,10 5 +5,6 8 -2,8 11 -3,8 5 +3
