,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,,,,2 1 +1,
Proxh M8,,,0 1 -1,1 1 +0,0 2 -2
Minny M8,,0 2 -2,,2 0 +2,
ComeBack M8,1 1 +0,0 1 -1,2 0 +2,,2 0 +2
Veqaj M8,1 0 +1,,,1 0 +1,
