,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,4 0 +4,2 2 +0,2 2 +0,2 4 -2,2 2 +0
Proxh M8,1 2 -1,4 0 +4,3 3 +0,1 3 -2,2 3 -1
Minny M8,3 1 +2,3 5 -2,4 2 +2,5 1 +4,1 3 -2
ComeBack M8,3 3 +0,2 4 -2,5 1 +4,6 2 +4,7 0 +7
Veqaj M8,6 5 +1,3 2 +1,3 2 +1,2 2 +0,4 1 +3
