,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,7 1 +6,2 1 +1,3 3 +0,2 6 -4,3 3 +0
Proxh M8,0 3 -3,2 2 +0,2 2 +0,2 4 -2,1 3 -2
Minny M8,2 0 +2,1 5 -4,3 5 -2,1 4 -3,0 0
ComeBack M8,1 4 -3,1 4 -3,1 1 +0,3 3 +0,3 3 +0
Veqaj M8,1 4 -3,1 2 -1,1 1 +0,2 5 -3,2 1 +1
