,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,,,,0 2 -2,
Proxh M8,,,,0 1 -1,
Minny M8,,,,0 4 -4,
ComeBack M8,1 0 +1,1 0 +1,2 0 +2,3 1 +2,7 0 +7
Veqaj M8,,,,0 3 -3,
